before	after	score
False	2	3	0.013761875019327241
False	3	4	-0.07758360394539854
False	4	5	0.0697641255175172
False	5	6	0.04302596287985827
False	6	7	-0.06258759019186755
False	7	8	-0.018623397827988164
False	8	9	0.008786572659050695
False	9	10	0.0354861989480989
False	10	11	-0.0070224759416884774
False	11	12	-0.08039243446432687
False	12	13	0.07522622394658995
False	13	14	0.03389729998578783
False	14	15	-0.016406564932546996
False	15	16	-0.05397420714281986
False	16	17	-0.07428095506554366
False	17	18	-0.0011363539073072637
True	18	19	0.23667590237098485
False	19	20	-0.0819433400753592
False	20	21	-0.08402715788689752
False	21	22	0.10655866668142577
False	22	23	-0.08605503998637609
False	23	24	-0.06953577885819662
False	24	25	0.0792111455357517
False	25	26	0.07458663688912948
False	26	27	-0.022376986143838207
False	27	28	-0.04876022177300676
False	28	29	-0.00047764162420271816
False	29	30	-0.01184117276820662
False	30	31	0.03074031694317192
False	31	32	-0.019256313887671905
False	32	33	-0.007374599226121048
False	33	34	-0.022797294896576448
False	34	35	0.019834473665777952
False	35	36	0.010041269430160371
False	36	37	-0.006085371154873065
False	37	38	0.03208167262379091
False	38	39	-0.019397024441749067
False	39	40	-0.0007783850477383059
False	40	41	0.009703554326066288
False	41	42	-0.06936815949889086
False	42	43	0.04840075740823213
False	43	44	-0.00421019301247838
False	44	45	-0.007928822932701696
False	45	46	0.08457007883973555
False	46	47	-0.07693386078339859
False	47	48	-0.014761045829485786
False	48	49	0.05442792667305296
False	49	50	0.0206348792008626
False	50	51	-0.055903427120936766
False	51	52	-0.12222232891207241
False	52	53	0.08445701107646197
True	53	54	0.18811675844670916
False	54	55	-0.15625209789114025
False	55	56	0.0015833167550610705
False	56	57	0.04688496619848326
False	57	58	-0.07935915049380315
False	58	59	-0.10932743116341903
True	59	60	0.18477521574849254
